entity861	our nation from
entity117	al-Askari mosque bombing
entity575	the Affordable Care Act and
entity68	common sense gun reform
entity337	mass shooting
entity892	US
entity844	ISIS is
entity86	Americans safe.
entity454	immigration
entity595	#SCOTUS
entity604	#BringBackOurGirls #JoinRepWilson
entity565	suspected terrorists and
entity1005	whose #RI company helps #refugees enter the local #job market. Keep up the great work!
entity837	our communities
entity642	Middle East.
entity487	As a nation we
entity1061	900+ loved ones
entity639	#gunviolence.
entity292	the Affordable Care Act. Mr.
entity480	UN Security Council
entity435	#Obamacare
entity1010	system
entity49	ISIS during
entity644	Our country
entity344	womens health
entity187	terrorism
entity495	Prenatal health care
entity608	We will
entity868	#CHIP =
entity808	more than 100K young adults
entity911	reckless gun violence.
entity1060	gun violence
entity80	terrorists
entity717	#ChibokGirls
entity991	gun violence
entity474	terrorists to
entity276	Planned Parenthood clinic in Colorado
entity112	gun violence
entity963	patient-centered reforms.
entity499	Dr. King
entity738	affordable care for working
entity183	teen pregnancy gun violence healthier fewer divorces.
entity544	#SCOTUS upheld
entity250	health insurance markets
entity921	I join
entity765	midshipmen
entity100	health care providers and patients in need of home health
entity918	are
entity314	terrorist attack in #Jerusalem
entity401	POTUS
entity749	Affordable Care Act!
entity661	We have
entity9	460K+ get
entity945	American people
entity529	#StopTheViolence
entity336	African American women
entity1036	terrorist attack
entity181	I
entity651	Care Act
entity316	ISIS
entity849	seniors women and families across America.
entity679	@HHSgov will
entity809	#military w/
entity1029	Senate
entity614	gun violence now.
entity676	my bills today
entity878	#DisarmHate?
entity1012	@GinaRaimondo to
entity248	#DACA
entity1040	from
entity197	mass shooting
entity786	4 brave Marines in #Chattanooga
entity596	women's health
entity1	Susan and I
entity754	House GOP leaders to
entity569	thousands in NM. #StandWithPP
entity962	Congress time
entity184	terrorist while
entity537	dangerous suspected terrorists
entity932	Florida
entity739	ACAs benefits
entity729	@NRA to
entity641	us
entity631	suspected terrorists from
entity255	#Obamacare's medical device tax
entity108	gun violence
entity419	Central American women children:
entity345	we
entity782	168
entity925	Congress
entity810	radical Islamic terrorism
entity682	You
entity956	New $3M #Obamacare grant for RI
entity719	prejudiced gay blood ban.
entity446	1000s due
entity506	terrorism and
entity674	lone wolf terrorists.
entity387	you in
entity1047	incarceration and shooting of
entity784	Tel Aviv.
entity379	healthcare premiums
entity78	#Orlando Massacre
entity1050	principles of quality and responsiveness.
entity129	terrorist gun loophole and
entity762	guns out
entity298	unlocked gun
entity654	bureaucrats in Washington.
entity745	American
entity737	women’s healthcare
entity384	firearm
entity627	13 mass shootings
entity635	#NoFlyNoBuy and
entity840	We should
entity883	unborn babies
entity286	.@RepLeeZeldin
entity291	A satisfied couple
entity231	gun violence WATCH→
entity882	women
entity1003	victims their families and the entire
entity587	Stephanie and Justin Shults
entity246	Obamacare and Defund Planned Parenthood
entity168	Orlando must
entity351	US troops in Iraq and
entity341	ISIL through
entity395	#ACA Doughnut Hole fix
entity927	@WallyBrewster
entity355	easy access to guns
entity693	30 000 American lives
entity741	20 million Americans
entity881	The Visa Waiver Program
entity260	91 percent on terrorist watch list
